category,university
私立,玉川大学
私立,多摩美術大学
私立,中央大学
私立,津田塾大学
私立,帝京大学
私立,帝京科学大学
私立,帝京平成大学
私立,デジタルハリウッド大学
私立,東京有明医療大学
私立,東京医科大学
私立,東京医療学院大学
私立,東京医療保健大学
私立,東京音楽大学
私立,東京家政大学
私立,東京家政学院大学
私立,東京経済大学
私立,東京工科大学
私立,東京工芸大学
私立,東京歯科大学
私立,東京慈恵会医科大学
私立,東京純心大学
私立,東京女学館大学
私立,東京女子大学
私立,東京女子医科大学
私立,東京女子体育大学
私立,東京神学大学
私立,東京聖栄大学
私立,東京成徳大学
私立,東京造形大学
私立,東京電機大学
私立,東京都市大学
私立,東京農業大学
私立,東京富士大学
私立,東京未来大学
私立,東京薬科大学
私立,東京理科大学
私立,東邦大学
私立,桐朋学園大学
私立,東洋大学
私立,東洋学園大学
私立,二松學舍大学
私立,日本大学
私立,日本医科大学
私立,日本教育大学院大学
私立,日本歯科大学
私立,日本社会事業大学
私立,日本獣医生命科学大学
私立,日本女子大学
私立,日本女子体育大学
私立,日本赤十字看護大学
私立,日本体育大学
私立,日本文化大学
私立,ハリウッド大学院大学
私立,ビジネス・ブレークスルー大学
私立,文化学園大学
私立,文化ファッション大学院大学 
私立,文京学院大学
私立,法政大学
私立,星薬科大学
私立,武蔵大学
私立,武蔵野大学
私立,武蔵野音楽大学
私立,武蔵野美術大学
私立,明治大学
私立,明治学院大学
私立,明治薬科大学
私立,明星大学
私立,目白大学
私立,ヤマザキ学園大学
私立,立教大学
私立,立正大学
私立,ルーテル学院大学
私立,LEC東京リーガルマインド大学院大学
私立,和光大学
私立,早稲田大学
私立,敬和学園大学
私立,国際大学
私立,事業創造大学院大学
私立,長岡大学
私立,新潟医療福祉大学
私立,新潟経営大学
私立,新潟工科大学
私立,新潟国際情報大学
私立,新潟産業大学
私立,新潟青陵大学
私立,新潟薬科大学
私立,新潟リハビリテーション大学
私立,健康科学大学
私立,身延山大学
私立,山梨英和大学
私立,山梨学院大学
私立,佐久大学
私立,諏訪東京理科大学
私立,清泉女学院大学
私立,長野大学
私立,長野保健医療大学
私立,松本大学
私立,松本歯科大学
私立,高岡法科大学
私立,桐朋学園大学院大学
私立,富山国際大学
私立,金沢医科大学
私立,金沢学院大学
私立,金沢工業大学
私立,金沢星稜大学
私立,金城大学
私立,北陸大学
私立,北陸学院大学 
私立,仁愛大学
私立,福井工業大学 
私立,朝日大学
私立,岐阜医療科学大学
私立,岐阜経済大学
私立,岐阜女子大学
私立,岐阜聖徳学園大学
私立,中京学院大学 
私立,中部学院大学
私立,東海学院大学 
私立,静岡英和学院大学
私立,静岡産業大学
私立,静岡福祉大学
私立,静岡理工科大学
私立,聖隷クリストファー大学
私立,常葉大学
私立,浜松学院大学
私立,光産業創成大学院大学
私立,愛知大学
私立,愛知医科大学
私立,愛知学院大学
私立,愛知学泉大学
私立,愛知工科大学
私立,愛知工業大学
私立,愛知産業大学
私立,愛知淑徳大学
私立,愛知東邦大学
私立,愛知文教大学
私立,愛知みずほ大学 
私立,桜花学園大学
私立,岡崎女子大学
私立,金城学院大学
私立,至学館大学
私立,修文大学
私立,椙山女学園大学
私立,星城大学
私立,大同大学
私立,中京大学
私立,中部大学
私立,東海学園大学 
私立,同朋大学
私立,豊田工業大学
私立,豊橋創造大学
私立,名古屋音楽大学
私立,名古屋外国語大学
私立,名古屋学院大学
私立,名古屋学芸大学
私立,名古屋経済大学
私立,名古屋芸術大学
私立,名古屋産業大学
私立,名古屋商科大学
私立,名古屋女子大学
私立,名古屋造形大学 
私立,名古屋文理大学 
私立,南山大学
私立,日本赤十字豊田看護大学 
私立,日本福祉大学
私立,人間環境大学
私立,藤田保健衛生大学
私立,名城大学
私立,皇學館大学
私立,鈴鹿医療科学大学
私立,鈴鹿大学
私立,四日市大学
私立,四日市看護医療大学 
私立,成安造形大学
私立,聖泉大学
私立,長浜バイオ大学
私立,びわこ学院大学
私立,びわこ成蹊スポーツ大学
私立,大谷大学
私立,京都医療科学大学
私立,京都外国語大学
私立,京都学園大学
私立,京都華頂大学
私立,京都看護大学
私立,京都光華女子大学
私立,京都嵯峨芸術大学
私立,京都産業大学
私立,京都情報大学院大学
私立,京都女子大学
私立,京都精華大学
私立,京都造形芸術大学
私立,京都橘大学
私立,京都ノートルダム女子大学 
私立,京都美術工芸大学
私立,京都文教大学
私立,京都薬科大学
私立,種智院大学
私立,成美大学
私立,同志社大学
私立,同志社女子大学
私立,花園大学
私立,佛教大学
私立,平安女学院大学
私立,明治国際医療大学
私立,立命館大学
私立,龍谷大学
私立,藍野大学
私立,追手門学院大学
私立,大阪青山大学
私立,大阪医科大学
私立,大阪大谷大学
私立,大阪音楽大学
私立,大阪学院大学
私立,大阪河崎リハビリテーション大学
私立,大阪観光大学
私立,大阪経済大学
私立,大阪経済法科大学
私立,大阪芸術大学
私立,大阪工業大学
私立,大阪国際大学
私立,大阪産業大学
私立,大阪歯科大学
私立,大阪樟蔭女子大学
私立,大阪商業大学
私立,大阪女学院大学
私立,大阪成蹊大学
私立,大阪総合保育大学
私立,大阪体育大学
私立,大阪電気通信大学
私立,大阪人間科学大学
私立,大阪物療大学
私立,大阪保健医療大学
私立,大阪薬科大学
私立,大阪行岡医療大学
私立,関西大学
私立,関西医科大学
